reynolds_number,angle_of_attack,cl,cd,cm,cl_cd_ratio,airfoil_name,airfoil_file
1000000.0,6,[0.53975136],[0.01057901],[0.03074133],[51.0209752],spec_01,spec_01.dat
1000000.0,8,[0.87434572],[0.01384057],[0.00169831],[63.17267219],spec_01,spec_01.dat
1000000.0,10,[1.10150718],[0.01804494],[-0.00823669],[61.04244448],spec_01,spec_01.dat
100000.0,-8,[-0.53987558],[0.08399311],[-0.03077638],[-6.42761756],spec_02,spec_02.dat
100000.0,-6,[-0.61116382],[0.03853494],[-0.0225948],[-15.85998987],spec_02,spec_02.dat
100000.0,-4,[-0.46400557],[0.0246173],[-0.0105098],[-18.84875808],spec_02,spec_02.dat
100000.0,-2,[-0.2841675],[0.01771439],[-0.00362184],[-16.04162191],spec_02,spec_02.dat
100000.0,0,[0.00836215],[0.01930243],[-0.01868371],[0.43321723],spec_02,spec_02.dat
100000.0,2,[0.25145496],[0.02143573],[-0.0289733],[11.73064711],spec_02,spec_02.dat
100000.0,4,[0.64427288],[0.01531667],[-0.04803299],[42.0635088],spec_02,spec_02.dat
100000.0,6,[0.79892359],[0.0239986],[-0.03292217],[33.29042026],spec_02,spec_02.dat
100000.0,8,[0.98183072],[0.03643688],[-0.02518798],[26.9460678],spec_02,spec_02.dat
100000.0,10,[1.00289265],[0.06588903],[-0.00693706],[15.22093417],spec_02,spec_02.dat
500000.0,-8,[-0.72963408],[0.02050741],[-0.03689313],[-35.57903776],spec_02,spec_02.dat
500000.0,-6,[-0.4708538],[0.01447295],[-0.04749583],[-32.53336184],spec_02,spec_02.dat
500000.0,-4,[-0.22407997],[0.01153789],[-0.05460669],[-19.42122322],spec_02,spec_02.dat
500000.0,-2,[0.00986902],[0.008955],[-0.05861627],[1.10206899],spec_02,spec_02.dat
500000.0,0,[0.21635966],[0.00648375],[-0.05071814],[33.36952568],spec_02,spec_02.dat
500000.0,2,[0.48204456],[0.00674178],[-0.05880042],[71.50110514],spec_02,spec_02.dat
500000.0,4,[0.66967577],[0.0113874],[-0.05280014],[58.80850556],spec_02,spec_02.dat
500000.0,6,[0.83654482],[0.0136807],[-0.04344907],[61.1478157],spec_02,spec_02.dat
500000.0,8,[0.98923804],[0.01650818],[-0.03068802],[59.9241251],spec_02,spec_02.dat
500000.0,10,[1.14975721],[0.02009464],[-0.02134449],[57.2171223],spec_02,spec_02.dat
1000000.0,-8,[-0.62607224],[0.01415167],[-0.0595413],[-44.24017379],spec_02,spec_02.dat
1000000.0,-6,[-0.40579132],[0.01033589],[-0.06111166],[-39.26042757],spec_02,spec_02.dat
1000000.0,-4,[-0.19205833],[0.00821099],[-0.06016911],[-23.39039358],spec_02,spec_02.dat
1000000.0,-2,[0.02467566],[0.00702575],[-0.05878168],[3.5121735],spec_02,spec_02.dat
1000000.0,0,[0.22789816],[0.00475306],[-0.05298787],[47.94769161],spec_02,spec_02.dat
1000000.0,2,[0.42743159],[0.00536751],[-0.04633135],[79.6331783],spec_02,spec_02.dat
1000000.0,4,[0.63893464],[0.00963386],[-0.04655373],[66.32178149],spec_02,spec_02.dat
1000000.0,6,[0.85502002],[0.01132616],[-0.04694819],[75.49073363],spec_02,spec_02.dat
1000000.0,8,[1.03375451],[0.01321222],[-0.03924009],[78.24228765],spec_02,spec_02.dat
1000000.0,10,[1.19917272],[0.01587391],[-0.02988035],[75.54363121],spec_02,spec_02.dat
100000.0,-8,[-0.45611996],[0.09291826],[-0.01748151],[-4.90883023],spec_03,spec_03.dat
100000.0,-6,[-0.44176675],[0.05922085],[-0.03394689],[-7.45964942],spec_03,spec_03.dat
100000.0,-4,[-0.31100533],[0.02485266],[-0.03796963],[-12.51396618],spec_03,spec_03.dat
100000.0,-2,[-0.15695734],[0.01439627],[-0.02414013],[-10.90264208],spec_03,spec_03.dat
100000.0,0,[0.15077844],[0.01334084],[-0.04220648],[11.302017],spec_03,spec_03.dat
100000.0,2,[0.47848694],[0.01347937],[-0.06155218],[35.49771857],spec_03,spec_03.dat
100000.0,4,[0.67550877],[0.01427971],[-0.04892355],[47.30548338],spec_03,spec_03.dat
100000.0,6,[0.84229198],[0.01861619],[-0.03748826],[45.24512847],spec_03,spec_03.dat
100000.0,8,[1.02204722],[0.02916808],[-0.03196967],[35.03992323],spec_03,spec_03.dat
100000.0,10,[1.16564708],[0.04642844],[-0.02255273],[25.10631343],spec_03,spec_03.dat
500000.0,-8,[-0.48254866],[0.0804413],[-0.02193442],[-5.99876735],spec_03,spec_03.dat
500000.0,-6,[-0.44848489],[0.03833764],[-0.03816027],[-11.69829116],spec_03,spec_03.dat
500000.0,-4,[-0.22998689],[0.01441442],[-0.04895069],[-15.95533781],spec_03,spec_03.dat
500000.0,-2,[0.04491852],[0.00875364],[-0.05887489],[5.13141061],spec_03,spec_03.dat
500000.0,0,[0.24272822],[0.00569433],[-0.0508847],[42.62626317],spec_03,spec_03.dat
500000.0,2,[0.46589083],[0.00626217],[-0.0497082],[74.3976438],spec_03,spec_03.dat
500000.0,4,[0.67307517],[0.00804255],[-0.047582],[83.68925266],spec_03,spec_03.dat
500000.0,6,[0.8706079],[0.01180393],[-0.0442652],[73.75576605],spec_03,spec_03.dat
500000.0,8,[1.06913576],[0.01566286],[-0.04173606],[68.25931128],spec_03,spec_03.dat
500000.0,10,[1.24497567],[0.02102332],[-0.03615069],[59.21878193],spec_03,spec_03.dat
1000000.0,-8,[-0.49332296],[0.07795713],[-0.02046041],[-6.32813142],spec_03,spec_03.dat
1000000.0,-6,[-0.4277802],[0.03226769],[-0.04411813],[-13.25722878],spec_03,spec_03.dat
1000000.0,-4,[-0.18743471],[0.01165649],[-0.05807337],[-16.07985397],spec_03,spec_03.dat
1000000.0,-2,[0.04291708],[0.0074217],[-0.05594388],[5.78265199],spec_03,spec_03.dat
1000000.0,0,[0.24859737],[0.00479723],[-0.05283003],[51.8209858],spec_03,spec_03.dat
1000000.0,2,[0.46077057],[0.00543487],[-0.04938025],[84.78047239],spec_03,spec_03.dat
1000000.0,4,[0.6816986],[0.00739556],[-0.04884855],[92.17671308],spec_03,spec_03.dat
1000000.0,6,[0.8812074],[0.01031184],[-0.04606858],[85.45584738],spec_03,spec_03.dat
1000000.0,8,[1.08097784],[0.01345786],[-0.04346544],[80.32313524],spec_03,spec_03.dat
1000000.0,10,[1.26040312],[0.01827988],[-0.03808499],[68.95029433],spec_03,spec_03.dat
100000.0,-8,[-0.56846555],[0.08626703],[-0.03258861],[-6.58960367],spec_04,spec_04.dat
100000.0,-6,[-0.61591915],[0.05039352],[-0.03278952],[-12.22218914],spec_04,spec_04.dat
100000.0,-4,[-0.44908521],[0.02805608],[-0.02676644],[-16.00669643],spec_04,spec_04.dat
100000.0,-2,[-0.27956615],[0.02023758],[-0.01904026],[-13.81421162],spec_04,spec_04.dat
100000.0,0,[-0.07506076],[0.01792445],[-0.01518216],[-4.18761936],spec_04,spec_04.dat
100000.0,2,[0.13209722],[0.01974446],[-0.01900239],[6.69034468],spec_04,spec_04.dat
100000.0,4,[0.53764526],[0.01947021],[-0.04540538],[27.61373751],spec_04,spec_04.dat
100000.0,6,[0.77336886],[0.03146698],[-0.04389483],[24.5771524],spec_04,spec_04.dat
100000.0,8,[0.92055176],[0.04807786],[-0.03186306],[19.14710208],spec_04,spec_04.dat
100000.0,10,[0.87786347],[0.0921461],[-0.01656798],[9.52686521],spec_04,spec_04.dat
500000.0,-8,[-0.47691965],[0.06195809],[-0.06571084],[-7.69745533],spec_04,spec_04.dat
500000.0,-6,[-0.38505138],[0.03368438],[-0.07660687],[-11.43115693],spec_04,spec_04.dat
500000.0,-4,[-0.21746682],[0.01859213],[-0.07537226],[-11.69671588],spec_04,spec_04.dat
500000.0,-2,[0.01782599],[0.01305564],[-0.07141381],[1.36538615],spec_04,spec_04.dat
500000.0,0,[0.24357829],[0.01077075],[-0.07533423],[22.61479245],spec_04,spec_04.dat
500000.0,2,[0.50156572],[0.00661966],[-0.07837623],[75.76906415],spec_04,spec_04.dat
500000.0,4,[0.6317659],[0.01212492],[-0.06092508],[52.10473139],spec_04,spec_04.dat
500000.0,6,[0.79184872],[0.0174776],[-0.05228482],[45.3064939],spec_04,spec_04.dat
500000.0,8,[0.91061819],[0.02665389],[-0.04211435],[34.16454799],spec_04,spec_04.dat
500000.0,10,[0.93627459],[0.06634474],[-0.00748474],[14.11226574],spec_04,spec_04.dat
1000000.0,-8,[-0.41313181],[0.05261867],[-0.07848009],[-7.85143047],spec_04,spec_04.dat
1000000.0,-6,[-0.3496157],[0.02698666],[-0.08283491],[-12.95512928],spec_04,spec_04.dat
1000000.0,-4,[-0.17050967],[0.01424989],[-0.07889028],[-11.96568363],spec_04,spec_04.dat
1000000.0,-2,[0.05818279],[0.00930285],[-0.07831738],[6.25429913],spec_04,spec_04.dat
1000000.0,0,[0.27839436],[0.00684352],[-0.07845921],[40.6799719],spec_04,spec_04.dat
1000000.0,2,[0.41900675],[0.00753184],[-0.06048729],[55.63139256],spec_04,spec_04.dat
1000000.0,4,[0.64619835],[0.01030775],[-0.06470615],[62.69054176],spec_04,spec_04.dat
1000000.0,6,[0.81417223],[0.0155906],[-0.05491512],[52.22197901],spec_04,spec_04.dat
1000000.0,8,[0.93816167],[0.03009651],[-0.03230575],[31.17177946],spec_04,spec_04.dat
1000000.0,10,[0.87351666],[0.07043381],[-0.01516385],[12.40195144],spec_04,spec_04.dat
100000.0,-8,[-0.51556972],[0.07606075],[0.00359206],[-6.77839385],spec_05,spec_05.dat
100000.0,-6,[-0.50231973],[0.04876664],[0.01422266],[-10.30047867],spec_05,spec_05.dat
100000.0,-4,[-0.33204192],[0.02824722],[0.01717669],[-11.75485124],spec_05,spec_05.dat
100000.0,-2,[-0.05739054],[0.01973352],[0.01805334],[-2.90827669],spec_05,spec_05.dat
100000.0,0,[0.325407],[0.01894849],[-0.00258335],[17.17323763],spec_05,spec_05.dat
100000.0,2,[0.49985605],[0.0209822],[0.00165369],[23.82285782],spec_05,spec_05.dat
100000.0,4,[0.67704696],[0.02582495],[0.00491139],[26.21677819],spec_05,spec_05.dat
100000.0,6,[0.82768389],[0.0341989],[0.01229333],[24.20206458],spec_05,spec_05.dat
100000.0,8,[0.69499578],[0.08064906],[0.01148517],[8.61753051],spec_05,spec_05.dat
100000.0,10,[0.55002911],[0.13010827],[0.00023817],[4.22747245],spec_05,spec_05.dat
500000.0,-8,[-0.63849304],[0.05210059],[0.00719705],[-12.25500527],spec_05,spec_05.dat
500000.0,-6,[-0.492996],[0.02609306],[0.00921049],[-18.8937595],spec_05,spec_05.dat
500000.0,-4,[-0.29240969],[0.01480393],[0.01959923],[-19.7521697],spec_05,spec_05.dat
500000.0,-2,[-0.09291218],[0.01269734],[0.02534852],[-7.31745501],spec_05,spec_05.dat
500000.0,0,[0.0877506],[0.00985274],[0.03581478],[8.90621018],spec_05,spec_05.dat
500000.0,2,[0.34500795],[0.01125051],[0.03256713],[30.66598126],spec_05,spec_05.dat
500000.0,4,[0.60471967],[0.01222863],[0.02307121],[49.45112599],spec_05,spec_05.dat
500000.0,6,[0.85267741],[0.01344098],[0.01555109],[63.43863908],spec_05,spec_05.dat
500000.0,8,[1.06343572],[0.01536033],[0.0152372],[69.23262731],spec_05,spec_05.dat
500000.0,10,[1.22151126],[0.0181464],[0.02527809],[67.31426201],spec_05,spec_05.dat
1000000.0,-8,[-0.73740006],[0.01909719],[0.01341212],[-38.61300454],spec_05,spec_05.dat
1000000.0,-6,[-0.51881329],[0.01377243],[0.01772195],[-37.6704134],spec_05,spec_05.dat
1000000.0,-4,[-0.31154528],[0.01136356],[0.02333758],[-27.41616604],spec_05,spec_05.dat
1000000.0,-2,[-0.10396361],[0.01070576],[0.02795827],[-9.71100135],spec_05,spec_05.dat
1000000.0,0,[0.1086141],[0.00966967],[0.0300705],[11.23245677],spec_05,spec_05.dat
1000000.0,2,[0.28434582],[0.00797984],[0.04315683],[35.63301229],spec_05,spec_05.dat
1000000.0,4,[0.51173981],[0.00905134],[0.04139672],[56.53749113],spec_05,spec_05.dat
1000000.0,6,[0.74799171],[0.01014594],[0.03760168],[73.72325216],spec_05,spec_05.dat
1000000.0,8,[0.9975668],[0.01164923],[0.03005807],[85.63373247],spec_05,spec_05.dat
1000000.0,10,[1.22849702],[0.01376269],[0.02547528],[89.26282464],spec_05,spec_05.dat
